id,user_id,icon,label,description,display_order,created_at,updated_at
0ff74f32-ce05-4d22-aeec-73f918f1f152,3f57207d-8226-452e-936c-0f1af88a274d,Code2,Flexibility,"Adapts quickly to new tools, tasks, and changes",0,2025-11-29 05:18:10.845482+00,2025-11-29 05:18:10.845482+00
12f05ac8-e808-45ec-b91c-afc17a504a48,3f57207d-8226-452e-936c-0f1af88a274d,Star,Effective Communication,Shares ideas clearly and listens actively,0,2025-11-29 05:18:10.845482+00,2025-11-29 05:18:10.845482+00
17cb1756-0aec-41d9-9517-901a45d199c3,3f57207d-8226-452e-936c-0f1af88a274d,Target,Time Management,Efficiently prioritizes work to meet deadlines,0,2025-11-29 05:18:10.845482+00,2025-11-29 05:18:10.845482+00
62039eaa-dcbb-45ac-abd5-0c77555de7f9,09c3aaae-cc71-4cc0-9cfe-2c9fd0f52c16,Star,Effective Communication,Shares ideas clearly and listens actively,0,2025-11-28 04:11:17.282437+00,2025-11-28 04:11:17.282437+00
66bdab7d-3bc5-45eb-bc95-e527b7de5427,3f57207d-8226-452e-936c-0f1af88a274d,Heart,Interpersonal Relations,"Builds positive, professional connections with ease",0,2025-11-29 05:18:10.845482+00,2025-11-29 05:18:10.845482+00
6cb13c9c-f0d9-4fef-bbde-d91ccc0d25b7,09c3aaae-cc71-4cc0-9cfe-2c9fd0f52c16,Code2,Flexibility,"Adapts quickly to new tools, tasks, and changes",0,2025-11-28 04:08:54.731598+00,2025-11-28 04:08:54.731598+00
6cc05d5b-0561-4348-84a7-e2a8566584ad,09c3aaae-cc71-4cc0-9cfe-2c9fd0f52c16,Globe,Seeking New Experience,Continuously explores new skills and technologies,0,2025-11-28 04:10:35.684683+00,2025-11-28 04:10:35.684683+00
939d5114-a9a9-45c7-90f2-91ccea67aab2,09c3aaae-cc71-4cc0-9cfe-2c9fd0f52c16,Lightbulb,Creativity & Design,"Creates intuitive, modern, and user-focused designs",0,2025-11-28 04:09:27.828216+00,2025-11-28 04:09:27.828216+00
a9834aca-4e70-4fbb-84cc-9f4acee8face,09c3aaae-cc71-4cc0-9cfe-2c9fd0f52c16,Target,Time Management,Efficiently prioritizes work to meet deadlines,0,2025-11-28 04:11:59.109895+00,2025-11-28 04:11:59.109895+00
e236e192-8907-4f91-b125-a53b98af8597,3f57207d-8226-452e-936c-0f1af88a274d,Globe,Seeking New Experience,Continuously explores new skills and technologies,0,2025-11-29 05:18:10.845482+00,2025-11-29 05:18:10.845482+00
e9743f42-4e8a-4f8f-874f-c0367d7f0312,3f57207d-8226-452e-936c-0f1af88a274d,Lightbulb,Creativity & Design,"Creates intuitive, modern, and user-focused designs",0,2025-11-29 05:18:10.845482+00,2025-11-29 05:18:10.845482+00
fdff7c54-357e-43aa-9af5-59afe7a77df7,09c3aaae-cc71-4cc0-9cfe-2c9fd0f52c16,Heart,Interpersonal Relations,"Builds positive, professional connections with ease",0,2025-11-28 04:08:03.694731+00,2025-11-28 04:08:03.694731+00